Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season_id
6,Allen Iverson,27,PHI,0.0,83.0,1190,0.07,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127,2002-03
7,Dirk Nowitzki,24,DAL,0.0,43.0,1190,0.036,80,39.0,25.1,9.9,3.0,1.4,1.0,0.463,0.379,0.881,16.1,0.249,2002-03
8,Ben Wallace,28,DET,1.0,33.0,1190,0.028,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,2002-03
9,Jason Kidd,29,NJN,0.0,31.0,1190,0.026,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182,2002-03
10,Chris Webber,29,SAC,0.0,19.0,1190,0.016,67,39.1,23.0,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127,2002-03
11T,Jamal Mashburn,30,NOH,0.0,1.0,1190,0.001,82,40.5,21.6,6.1,5.6,1.0,0.2,0.422,0.389,0.848,9.0,0.13,2002-03
11T,Steve Nash,28,DAL,0.0,1.0,1190,0.001,82,33.1,17.7,2.9,7.3,1.0,0.1,0.465,0.413,0.909,11.6,0.206,2002-03
11T,Paul Pierce,25,BOS,0.0,1.0,1190,0.001,79,39.2,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,10.1,0.157,2002-03
1,Kevin Garnett,27,MIN,120.0,1219.0,1230,0.991,82,39.4,24.2,13.9,5.0,1.5,2.2,0.499,0.256,0.791,18.3,0.272,2003-04
2,Tim Duncan,27,SAS,0.0,716.0,1230,0.582,69,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249,2003-04
3,Jermaine O'Neal,25,IND,2.0,523.0,1230,0.425,78,35.7,20.1,10.0,2.1,0.8,2.6,0.434,0.111,0.757,9.0,0.155,2003-04
4,Peja Stojakovic,26,SAC,1.0,281.0,1230,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,2003-04
5,Kobe Bryant,25,LAL,0.0,212.0,1230,0.172,65,37.6,24.0,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21,2003-04
6,Shaquille O'Neal,31,LAL,0.0,178.0,1230,0.145,67,36.8,21.5,11.5,2.9,0.5,2.5,0.584,,0.49,9.9,0.192,2003-04
7,Ben Wallace,29,DET,0.0,24.0,1230,0.02,81,37.7,9.5,12.4,1.7,1.8,3.0,0.421,0.125,0.49,10.2,0.16,2003-04
8,Jason Kidd,30,NJN,0.0,17.0,1230,0.014,67,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141,2003-04
9,LeBron James,19,CLE,0.0,11.0,1230,0.009,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,2003-04
10T,Sam Cassell,34,MIN,0.0,4.0,1230,0.003,81,35.0,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205,2003-04
10T,Baron Davis,24,NOH,0.0,4.0,1230,0.003,67,40.1,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.673,7.5,0.133,2003-04
10T,Dirk Nowitzki,25,DAL,0.0,4.0,1230,0.003,77,37.9,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19,2003-04
13,Andrei Kirilenko,22,UTA,0.0,2.0,1230,0.002,78,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192,2003-04
14T,Carmelo Anthony,19,DEN,0.0,1.0,1230,0.001,82,36.5,21.0,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,2003-04
14T,Yao Ming,23,HOU,0.0,1.0,1230,0.001,82,32.8,17.5,9.0,1.5,0.3,1.9,0.522,0.0,0.809,11.4,0.202,2003-04
14T,Michael Redd,24,MIL,0.0,1.0,1230,0.001,82,36.8,21.7,5.0,2.3,1.0,0.1,0.44,0.35,0.868,9.7,0.154,2003-04
1,Steve Nash,30,PHO,65.0,1066.0,1270,0.839,75,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203,2004-05
2,Shaquille O'Neal,32,MIA,58.0,1032.0,1270,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,,0.461,11.0,0.211,2004-05
3,Dirk Nowitzki,26,DAL,0.0,349.0,1270,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,2004-05
4,Tim Duncan,28,SAS,1.0,328.0,1270,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,2004-05
5,Allen Iverson,29,PHI,2.0,240.0,1270,0.189,75,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0,0.136,2004-05
6,LeBron James,20,CLE,0.0,93.0,1270,0.073,80,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,2004-05
7,Tracy McGrady,25,HOU,0.0,44.0,1270,0.035,78,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12.0,0.18,2004-05
8,Dwyane Wade,23,MIA,0.0,43.0,1270,0.034,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,2004-05
9T,Amar'e Stoudemire,22,PHO,1.0,41.0,1270,0.032,80,36.1,26.0,8.9,1.6,1.0,1.6,0.559,0.188,0.733,14.6,0.243,2004-05
9T,Ray Allen,29,SEA,0.0,41.0,1270,0.032,78,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168,2004-05
11,Kevin Garnett,28,MIN,0.0,15.0,1270,0.012,82,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248,2004-05
12,Gilbert Arenas,23,WAS,0.0,4.0,1270,0.003,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169,2004-05
13,Vince Carter,28,TOT,0.0,3.0,1270,0.002,77,36.7,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159,2004-05
14T,P.J. Brown,35,NOH,0.0,1.0,1270,0.001,82,34.4,10.8,9.0,2.2,0.9,0.6,0.446,,0.864,6.9,0.118,2004-05
14T,Marcus Camby,30,DEN,0.0,1.0,1270,0.001,66,30.5,10.3,10.0,2.3,0.9,3.0,0.465,0.0,0.723,5.8,0.138,2004-05
14T,Shawn Marion,26,PHO,0.0,1.0,1270,0.001,81,38.8,19.4,11.3,1.9,2.0,1.5,0.476,0.334,0.833,12.5,0.191,2004-05
1,Steve Nash,31,PHO,57.0,924.0,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,2005-06
2,LeBron James,21,CLE,16.0,688.0,1250,0.55,79,42.5,31.4,7.0,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232,2005-06
3,Dirk Nowitzki,27,DAL,14.0,544.0,1250,0.435,81,38.1,26.6,9.0,2.8,0.7,1.0,0.48,0.406,0.901,17.7,0.275,2005-06
4,Kobe Bryant,27,LAL,22.0,483.0,1250,0.386,80,41.0,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224,2005-06
5,Chauncey Billups,29,DET,15.0,430.0,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254,2005-06
6,Dwyane Wade,24,MIA,0.0,87.0,1250,0.07,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239,2005-06
7,Elton Brand,26,LAC,1.0,50.0,1250,0.04,79,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.333,0.775,14.8,0.229,2005-06
8,Tim Duncan,29,SAS,0.0,33.0,1250,0.026,80,34.8,18.6,11.0,3.2,0.9,2.0,0.484,0.4,0.629,10.8,0.187,2005-06
9,Tony Parker,23,SAS,0.0,9.0,1250,0.007,80,33.9,18.9,3.3,5.8,1.0,0.1,0.548,0.306,0.707,9.6,0.169,2005-06
10T,Allen Iverson,30,PHI,0.0,1.0,1250,0.001,72,43.1,33.0,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165,2005-06
10T,Shawn Marion,27,PHO,0.0,1.0,1250,0.001,81,40.3,21.8,11.8,1.8,2.0,1.7,0.525,0.331,0.809,14.6,0.214,2005-06
1,Dirk Nowitzki,28,DAL,83.0,1138.0,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,2006-07
2,Steve Nash,32,PHO,44.0,1013.0,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,2006-07
3,Kobe Bryant,28,LAL,2.0,521.0,1290,0.404,77,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13.0,0.199,2006-07
4,Tim Duncan,30,SAS,0.0,286.0,1290,0.222,80,34.1,20.0,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13.0,0.23,2006-07
5,LeBron James,22,CLE,0.0,183.0,1290,0.142,78,40.9,27.3,6.7,6.0,1.6,0.7,0.476,0.319,0.698,13.7,0.206,2006-07
6,Tracy McGrady,27,HOU,0.0,110.0,1290,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163,2006-07
7,Chris Bosh,22,TOR,0.0,43.0,1290,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174,2006-07
8,Gilbert Arenas,25,WAS,0.0,31.0,1290,0.024,74,39.8,28.4,4.6,6.0,1.9,0.2,0.418,0.351,0.844,10.8,0.177,2006-07
9T,Carlos Boozer,25,UTA,0.0,7.0,1290,0.005,74,34.6,20.9,11.7,3.0,0.9,0.3,0.561,,0.685,9.9,0.185,2006-07
9T,Kevin Garnett,30,MIN,0.0,7.0,1290,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171,2006-07
11,Chauncey Billups,30,DET,0.0,4.0,1290,0.003,70,36.2,17.0,3.4,7.2,1.2,0.2,0.427,0.345,0.883,11.4,0.216,2006-07
12T,Shaquille O'Neal,34,MIA,0.0,3.0,1290,0.002,40,28.4,17.3,7.4,2.0,0.2,1.4,0.591,,0.422,2.8,0.119,2006-07
12T,Dwyane Wade,25,MIA,0.0,3.0,1290,0.002,51,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.219,2006-07
14,Amar'e Stoudemire,24,PHO,0.0,2.0,1290,0.002,82,32.8,20.4,9.6,1.0,1.0,1.3,0.575,0.0,0.781,11.2,0.201,2006-07
15T,Carmelo Anthony,22,DEN,0.0,1.0,1290,0.001,65,38.2,28.9,6.0,3.8,1.2,0.4,0.476,0.268,0.808,7.3,0.14,2006-07
15T,Baron Davis,27,GSW,0.0,1.0,1290,0.001,63,35.3,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,6.4,0.139,2006-07
15T,Tony Parker,24,SAS,0.0,1.0,1290,0.001,77,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.783,9.6,0.185,2006-07
